NOME_PRODUTO,COD_PRODUTO
"TELEVISOR SMART 43"" 4K 43UJ6565 LG           ",235
ROTEADOR RE184 1200MBPS AC DUAL              ,236
KIT CAPA E PELICULA LG K9TV                  ,237
RADIO PORTATIL MULTIBANDA TR849              ,238
SMARTPHONE MOTOROLA MOTO G7 POWER XT1955-1 AZ,239
SMARTPHONE SAMSUNG GAL J6 32GB PRETO         ,240
BOX LINE OCM 4010 DIAMOND PT ONEAL           ,241
PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   ,242
CAIXA ACUSTICA PHT3000 PHILCO                ,243
"TELEVISOR SMART 43"" UHD BT UN43RU7100 SAMSUNG",244
PEN DRIVE 8GB PD687 TWIST ROSA               ,245
AUTO RADIO MVH-98UB PIONEER                  ,246
CELULAR DL YC 130 DB PRETO                   ,247
SMARTPHONE SAMSUNG GAL A70  A705 128GB BRANCO,248
SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB OU,249
CELULAR RIU-I R200 DB BRANCO-ROSA            ,250
MINI SYSTEM MHC-M80D SONY                    ,251
BOX LINE OPB 5060-X BLUETOOTH ONEAL          ,252
CONJ.SC-AKX100LBK PANASONIC                  ,253
ROTEADOR RE058 150MBPS 1 ANT.4PTS.LAN        ,254
"TELEVISOR SMART 55"" 4K UN55NU7100 SAMSUNG    ",255
"TELEVISOR 32"" L1800 SEMP TCL                 ",256
"TELEVISOR SMART 43"" L43S4900FS SEMP TCL      ",257
CARTAO DE MEMORIA 128MB MICRO SD             ,258
RADIO AE1500X/78 PHILIPS                     ,259
MINI SYSTEM MHC-M60D SONY                    ,260
TABLET NB186 M7S QUAD CORE ROSA              ,261
RADIO CK43.ABRALLK X BOOM LG                 ,262
PEN DRIVE SONY RETRATIL USM32GR 32GB         ,263
TABLET NB305 M7 3G PLUS QUAD CORE ROSA       ,264
BOX LINE OCM 3910 ONEAL                      ,265
SMARTPHONE MOTOROLA MOTO G6 XT1925-3 INDIGO  ,266
"TELEVISOR SMART 32"" KDL-32W655D SONY         ",267
SMARTPHONE SAMSUNG GAL A7 64GB PRETO         ,268
PULSO ACO PULSEIRA ACO QZ 2315ABH/1Y TECHNOS ,269
AUDIO PB 122 BTL (LILAS) PHILCO              ,270
SMARTPHONE SAMSUNG GAL J6 64GB PRETO         ,271
"TELEVISOR SMART 32"" TC32ES600 PANASONIC      ",272
AUDIO PB500 BT PHILCO                        ,273
SMARTOGO WI 317 PACK ECO.CABO MICRO USB C/NYL,274
"TELEVISOR SMART 49"" 49LJ5550 LG              ",275
BOX LINE OCM 3912 ONEAL                      ,276
PULSO PLAST PULSEIRA PLAST DIGIT MOY1587/8V  ,277
"TELEVISOR SMART 50"" 4K UN50NU7100 SAMSUNG    ",278
